Sample_ID,Label,Cooks_distance_like
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,0.0071275837491090515
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,0.005091131249363607
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,0.005854800936768148
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,0.003818348437022705
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1_5,0.006618470624172685
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,0.001400061093574993
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,2_2,0.002545565624681805
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,2_3,0.0005091131249363609
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,2_4,0.0012727828123409032
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,0.0015273393748090832
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,3_1,0.008145809998981771
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,3_2,0.010436819061195396
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,0.005091131249363607
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,0.009418592811322674
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,3_5,0.010182262498727213
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,4_1,0.0023546482028306698
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,4_2,0.0007636696874045414
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,4_3,0.0014000610935749936
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,4_4,0.0005091131249363607
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,0.0009545871092556769
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,5_1,0.004072904999490884
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,5_2,0.00661847062417269
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,5_3,0.013746054373281738
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,5_4,0.003563791874554524
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,5_5,0.003309235312086345
