Sample_ID,Label,Residual,Standardized_residuals,True_y,Predicted_y
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,1.2000000000000002,0.6744907594765952,4,2.8
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,1.2000000000000002,0.6744907594765952,4,2.8
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,1.2000000000000002,0.6744907594765952,4,2.8
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,1.2000000000000002,0.6744907594765952,4,2.8
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1_5,1.2000000000000002,0.6744907594765952,4,2.8
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,3_1,1.0,0.3372453797382976,2,1.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,3_2,0.8,3.7441758553391193e-16,2,1.2
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,0.8,3.7441758553391193e-16,2,1.2
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,0.8,3.7441758553391193e-16,2,1.2
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,3_5,0.6000000000000001,-0.3372453797382969,2,1.4
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,5_1,-1.0,-3.0352084176446756,0,1.0
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,5_2,-1.2,-3.3724537973829727,0,1.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,5_3,-1.2,-3.3724537973829727,0,1.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,5_4,-1.2,-3.3724537973829727,0,1.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,5_5,-1.0,-3.0352084176446756,0,1.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,1.0,0.3372453797382976,3,2.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,2_2,1.0,0.3372453797382976,3,2.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,2_3,0.7999999999999998,0.0,3,2.2
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,2_4,-1.0,-3.0352084176446756,3,4.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,1.0,0.3372453797382976,3,2.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,4_1,-2.6,-5.733171455551054,1,3.6
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,4_2,-1.0,-3.0352084176446756,1,2.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,4_3,-2.6,-5.733171455551054,1,3.6
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,4_4,-1.2000000000000002,-3.372453797382973,1,2.2
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,-1.0,-3.0352084176446756,1,2.0
