Process_ID,All,2_0_%#1,2_0_%#2
Process_label,All,raw,snv
n_records,16,8,8
Mean_AUC_micro,0.8803125,0.830875,0.92975
Min_AUC_micro,0.741,0.741,0.8958
Median_AUC_micro,0.8967,0.8442000000000001,0.9284
Max_AUC_micro,0.9704,0.8976000000000001,0.9704
p_vs_All,1.0,0.025304523496712188,0.025304523496712188
p_vs_raw,0.025304523496712188,1.0,0.025304523496712188
p_vs_snv,0.025304523496712188,0.025304523496712188,1.0
effect_vs_All,0.0,0.45656894049527,0.45656894049527
effect_vs_raw,0.45656894049527,0.0,0.8547361871497557
effect_vs_snv,0.45656894049527,0.8547361871497557,0.0
