Process_ID,All,5_0_%#1,5_0_%#2
Process_label,All,roi_mean,roi_median
n_records,16,8,8
Mean_AUC_macro,0.8630000000000001,0.860125,0.865875
Min_AUC_macro,0.71,0.7460000000000001,0.71
Median_AUC_macro,0.8780000000000001,0.881,0.8780000000000001
Max_AUC_macro,0.964,0.964,0.951
p_vs_All,1.0,0.9546015292600099,0.9546015292600099
p_vs_roi_mean,0.9546015292600099,1.0,0.9546015292600099
p_vs_roi_median,0.9546015292600099,0.9546015292600099,1.0
effect_vs_All,0.0,0.011620640824212332,0.012059363114545146
effect_vs_roi_mean,0.011620640824212332,0.0,0.02425177226769576
effect_vs_roi_median,0.012059363114545146,0.02425177226769576,0.0
