Sample_ID,Label,leaf_1_probability_Cooks_distance_like,leaf_2_probability_Cooks_distance_like,leaf_3_probability_Cooks_distance_like,leaf_4_probability_Cooks_distance_like,leaf_5_probability_Cooks_distance_like
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,0.0016103059581320464,0.0026086956521739137,0.00557413600891862,0.0026949335249730508,0.006074168797953964
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,0.016103059581320456,0.011521739130434786,0.006688963210702341,0.003233920229967661,0.003836317135549872
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,0.016103059581320456,0.0038043478260869567,0.00575994054254924,0.005030542579949696,0.007033248081841432
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,0.05814085144927537,0.018145640294606795,0.006987577639751556,0.0078061390652988125,0.004471656576774904
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1_5,0.019134963768115947,0.006949394155381324,0.005564182194616979,0.00661537208923628,0.006856540084388185
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,0.019134963768115947,0.004632929436920884,0.009316770186335406,0.007938446507083535,0.005365987892129884
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,2_2,0.0028180354267310797,0.0006521739130434783,0.007246376811594203,0.007006827164929931,0.01118925831202046
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,2_3,0.013247282608695655,0.006949394155381324,0.00892857142857143,0.008599983716007165,0.0035773252614199227
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,2_4,0.031646286231884056,0.009265858873841766,0.01501035196687371,0.010716902784562776,0.0023848835076132817
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,0.002012882447665057,0.0023913043478260873,0.00575994054254924,0.0016169601149838304,0.007992327365728897
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,3_1,0.01692708333333334,0.009651936326918504,0.005175983436853003,0.004630760462465397,0.008645202715098147
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,3_2,0.012479871175523356,0.01021739130434783,0.008918617614269793,0.010600071864894,0.010230179028132991
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,0.01692708333333334,0.01119624613922547,0.0014233954451345753,0.004366145578895945,0.004769767015226563
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,0.0044283413848631254,0.008586956521739134,0.006131549609810483,0.003952569169960475,0.0028772378516624033
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,3_5,0.004428341384863125,0.00956521739130435,0.009661835748792272,0.0030542579949694583,0.00639386189258312
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,4_1,0.004025764895330114,0.0023913043478260873,0.006874767744332963,0.011318720804886814,0.01662404092071611
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,4_2,0.011039402173913046,0.009651936326918508,0.01022256728778468,0.012304592085979484,0.004769767015226563
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,4_3,0.013983242753623193,0.002316464718460441,0.011775362318840583,0.014553818596319821,0.0023848835076132817
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,4_4,0.0072463768115942065,0.004239130434782609,0.019509476031215164,0.014732303269852677,0.011508951406649615
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,0.00220788043478261,0.00926585887384177,0.006469979296066255,0.015612278130597625,0.004471656576774903
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,5_1,0.02207880434782609,0.008493703967688287,0.01048136645962733,0.011775362318840582,0.012520638414969728
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,5_2,0.0072463768115942065,0.005,0.0037160906726124137,0.001257635644987424,0.0035166240409207146
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,5_3,0.023550724637681167,0.008493703967688285,0.0020703933747412023,0.005027682787819574,0.005962208769033206
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,5_4,0.002012882447665057,0.001630434782608696,0.004273504273504275,0.004671218109953288,0.014386189258312018
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,5_5,0.003220611916264091,0.003804347826086957,0.006131549609810481,0.005749191519942509,0.007033248081841432
