Group,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
OVERALL,2.449642618811602,2.4625827965281477,1.9215993407772813,1.481347039936264,1.6233544082866986,1.5868837879457034,1.6142376001490366,1.618828578165108,1.6076949533310338,1.7556273687105568,1.6859222073979927,1.5525861802552858,1.5382576704212754,1.5544018261281611,1.6334648514571655,1.7348216773913847,1.769883805200894,1.9854146086543014,2.136455849131864,2.527061837718534,1.732188315427433,1.6042374287337757,1.6471356484728226,2.044397486896368,1.5756153277774805,1.6830943016729099,2.060803415049804,2.011927013892436,2.112792049479375,2.5329849340717407,2.4656944468107587,2.830115741544958,2.4652344004918705,2.5167440285094043,3.3552090490130064,4.7486286027271,2.71136950315943,4.887675263066509,3.0758916083814785,2.6878652632952047,1.8122458869204383,2.5593476951857075,2.5625987163897266,3.1871843797132167,2.246347198095704,1.8902653668571316
group_1,2.3583617129311265,1.753699151898272,1.5869359792841051,1.7451486956054136,1.7972456325252877,2.5957921015632075,2.199100052223158,2.604135473003568,2.5350468642461035,2.135404787571855,1.9354051495115765,2.224667637356518,2.2789897281391482,2.3572712377414033,2.2303957787412014,1.9622539642850254,1.8237288063364938,1.6014440759864987,1.3710265310595269,1.4427709434749223,2.0273188090760206,2.536720805886482,2.154769429774228,1.5154770305941039,1.8588923311660914,1.8791147804228834,2.19097748635619,5.957125218404705,5.170873836988601,1.7789167763631422,2.005470939297354,2.199548230119525,1.4889713435012515,2.097569171774481,2.4468064881768328,3.7414038957185647,3.2545922386183435,2.7601771389635226,2.2785917828724283,2.6089007438727534,3.4178608481724257,1.6022716706662026,2.2866913388352077,1.6603053888993577,3.6068617501119684,2.2193125627919206
group_2,3.343113890941746,3.329021937163916,1.7745926088065467,3.4409034710080464,3.0267043344796316,2.9274488281911992,2.962631816627053,2.7071621198479203,2.581066853106831,1.8914927277684204,2.1621154171924672,1.9344539887950563,1.9326201819694482,1.998529244502929,2.4634179108907674,2.90232137302096,3.092751276322328,2.3556163500844933,2.479853908684989,2.0458961802388536,1.534282110113407,2.038423678876947,2.2106915837261543,6.123726158909364,2.0486528143307092,1.8691294674056378,1.9279281052965291,1.5685891204383298,2.3958888380019254,2.6576226075502096,1.913182507700777,3.5969109302555986,1.6983630025633838,2.420145658894416,3.362213159286406,5.710840396295065,3.3813764352230153,7.031186489705827,4.075795627183174,3.075559325991854,2.8987895079431083,4.053343455616335,3.035170697873906,6.536058183499669,4.123140846661166,2.3361323301888968
