Group,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
OVERALL,1837.5769,1506.9541,1014.324,895.6221,841.1605,913.1102,908.679,922.1494,1003.42456,1361.7626,2215.0474,2929.332,3144.7449,3113.114,2687.7803,2376.5598,2240.0466,2011.8861,1858.3232,1626.3728,1301.2833,1014.48816,1056.656,2439.608,4702.3438,6165.571,6962.4795,7206.0127,7270.3306,7270.1064,7276.677,7314.855,7347.7124,7391.678,7420.8174,7447.478,7479.8594,7514.5312,7517.8594,7551.48,7549.927,7468.33,7361.943,7078.244,6896.086,6827.026
group_1,1837.5769,1506.9541,1014.324,895.6221,841.1605,913.1102,908.679,922.1494,1003.42456,1361.7626,2215.0474,2929.332,3144.7449,3113.114,2687.7803,2376.5598,2240.0466,2011.8861,1858.3232,1626.3728,1301.2833,1014.48816,1056.656,2439.608,4702.3438,6165.571,6962.4795,7206.0127,7270.3306,7270.1064,7276.677,7314.855,7347.7124,7391.678,7420.8174,7447.478,7479.8594,7514.5312,7517.8594,7551.48,7549.927,7468.33,7361.943,7078.244,6896.086,6827.026
group_2,1737.695,1409.3202,824.9372,701.2019,632.45245,654.4978,635.5281,636.41833,649.302,727.4076,1049.4178,1494.4565,1646.5222,1589.2981,1247.7836,1037.0228,977.23505,869.22253,811.5176,759.38605,693.16174,653.6401,714.3881,1075.1697,2835.3584,4626.108,5957.2886,6468.007,6608.465,6625.3433,6605.378,6610.7935,6646.125,6655.585,6681.901,6702.142,6704.9995,6735.706,6728.562,6754.503,6762.2603,6670.3394,6554.0664,6335.302,6243.067,6158.253
