Group,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
OVERALL,-1.0037977,-1.0316055,-1.1950741,-1.1986597,-1.2162818,-1.2071536,-1.2020645,-1.2023462,-1.1733485,-1.0418981,-0.882116,-0.7628448,-0.7289318,-0.7469785,-0.8331683,-0.8847026,-0.90600127,-0.9436941,-0.96553814,-0.9878674,-1.0575392,-1.164717,-1.1478127,-0.87527394,-0.3984359,0.23128666,0.79135454,1.0153098,1.041023,1.026925,1.030044,1.0498905,1.063408,1.0663096,1.0889827,1.0997782,1.1042647,1.1102495,1.1104097,1.1053463,1.1031338,1.0714202,1.0019311,0.880187,0.86587906,0.8281643
group_1,-1.0037977,-1.0316055,-1.1950741,-1.1986597,-1.2162818,-1.2071536,-1.2020645,-1.2023462,-1.1733485,-1.0418981,-0.7972515,-0.593782,-0.5254509,-0.54589826,-0.6863161,-0.77769256,-0.8144437,-0.8824585,-0.92205274,-0.97083545,-1.0575392,-1.164717,-1.1478127,-0.77902794,-0.05142237,0.5524505,0.9081746,1.0164236,1.041023,1.026925,1.030044,1.0498905,1.063408,1.0663096,1.0889827,1.0997782,1.1042647,1.1102495,1.1104097,1.1053463,1.1031338,1.0714202,1.0120203,0.9226431,0.86587906,0.8281643
group_2,-0.7183205,-0.8039193,-0.9747451,-1.072277,-1.0891546,-1.0799433,-1.0833198,-1.0806711,-1.07063,-1.0107121,-0.882116,-0.7628448,-0.7289318,-0.7469785,-0.8331683,-0.8847026,-0.90600127,-0.9436941,-0.96553814,-0.9878674,-1.0319794,-1.0689067,-1.0451009,-0.87527394,-0.3984359,0.23128666,0.79135454,1.0153098,1.0661342,1.076365,1.0844191,1.0924951,1.1062297,1.1082529,1.1237568,1.1300194,1.121949,1.1464151,1.141716,1.126583,1.1237359,1.0954139,1.0019311,0.880187,0.87800986,0.837024
