Sample_ID,Label,Cooks_distance_like
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,0.0008920311880533888
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,0.00340293379146293
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,0.0010902603409541428
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,0.0013876040703052726
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1_5,0.0013876040703052724
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,0.006149068322981367
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,2_2,0.0008074534161490687
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,2_3,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,2_4,0.004347826086956523
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,0.0009316770186335408
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,3_1,0.0004625346901017575
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,3_2,0.0016519096075062766
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,0.0006938020351526361
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,0.0012884894938548954
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,3_5,0.001057222148804017
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,4_1,0.00279503105590062
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,4_2,0.001118012422360249
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,4_3,0.002981366459627328
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,4_4,0.000248447204968944
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,0.003291925465838508
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,5_1,0.0007598784194528869
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,5_2,0.0030064754856614227
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,5_3,0.0013215276860050213
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,5_4,0.0007598784194528874
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,5_5,0.0012554513017047704
