Step_0,Step_1,Step_2
2_0_%#1,5_0_%#1,7_0_%#1
2_0_%#1,5_0_%#1,7_0_%#2
2_0_%#1,5_0_%#1,7_0_%#3
2_0_%#1,5_0_%#1,7_0_%#4
2_0_%#1,5_0_%#2,7_0_%#1
2_0_%#1,5_0_%#2,7_0_%#2
2_0_%#1,5_0_%#2,7_0_%#3
2_0_%#1,5_0_%#2,7_0_%#4
2_0_%#2,5_0_%#1,7_0_%#1
2_0_%#2,5_0_%#1,7_0_%#2
2_0_%#2,5_0_%#1,7_0_%#3
2_0_%#2,5_0_%#1,7_0_%#4
2_0_%#2,5_0_%#2,7_0_%#1
2_0_%#2,5_0_%#2,7_0_%#2
2_0_%#2,5_0_%#2,7_0_%#3
2_0_%#2,5_0_%#2,7_0_%#4
