Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,4,19,1,1,0.8,0.8,0.8000000000000002,0.92,0.97
leaf_2,2,14,6,3,0.25,0.4,0.3076923076923077,0.64,0.63
leaf_3,0,14,6,5,0.0,0.0,,0.56,0.6
leaf_4,2,17,3,3,0.4,0.4,0.4000000000000001,0.76,0.79
leaf_5,1,20,0,4,1.0,0.2,0.33333333333333337,0.84,0.74
Micro_avg,9,84,16,16,0.36,0.36,0.36,0.36,0.7726000000000001
Macro_avg,-,-,-,-,0.49000000000000005,0.36,0.3682051282051282,0.744,0.7460000000000001
StandardScaler_feat_all_KNeighborsClassifier model classification performance report,,,,,,,,,
