Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,5,19,1,0,0.8333333333333334,1.0,0.9090909090909091,0.96,0.95
leaf_2,4,20,0,1,1.0,0.8,0.888888888888889,0.96,0.875
leaf_3,4,19,1,1,0.8,0.8,0.8000000000000002,0.92,0.985
leaf_4,5,17,3,0,0.625,1.0,0.7692307692307693,0.88,0.915
leaf_5,2,20,0,3,1.0,0.4,0.5714285714285715,0.88,0.8700000000000001
Micro_avg,20,95,5,5,0.8,0.8,0.8,0.8,0.913
Macro_avg,-,-,-,-,0.8516666666666668,0.8,0.7877278277278277,0.9199999999999999,0.9190000000000002
StandardScaler_feat_all_KNeighborsClassifier model classification performance report,,,,,,,,,
