Sample_ID,Label,leaf_1_probability_Cooks_distance_like,leaf_2_probability_Cooks_distance_like,leaf_3_probability_Cooks_distance_like,leaf_4_probability_Cooks_distance_like,leaf_5_probability_Cooks_distance_like
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,0.021793207873675103,0.03304131516331387,0.02224235104669887,0.009711639025847901,0.008493703967688287
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,0.003515033528012114,0.005272550292018171,0.024204911433172296,0.01699536829523383,0.013126633404609171
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,0.002009499451954695,0.004201680672268908,0.003691550451189502,0.0026755852842809368,0.010869565217391306
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,0.0049324077457069794,0.005115089514066497,0.019278096800656282,0.029431438127090304,0.38260869565217387
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1_5,0.0010960906101571063,0.002557544757033248,0.010664479081214115,0.00936454849498328,0.00434782608695652
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,0.01300562405364482,0.014763140817650879,0.003925120772946857,0.0036418646346929625,0.003860774530767403
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,2_2,0.010230179028132993,0.019729630982827918,0.009433962264150948,0.0026755852842809368,0.0021739130434782605
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,2_3,0.0029229082937522843,0.00401899890390939,0.006562756357670223,0.010702341137123749,0.013043478260869566
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,2_4,0.0021090201168072697,0.002460523469608479,0.020279790660225443,0.005098610488570147,0.006563316702304581
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,0.003163530175210901,0.009842093878433919,0.025513285024154588,0.004613028537277753,0.011968401045378949
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,3_1,0.0029229082937522843,0.0032882718304713186,0.0032813781788351127,0.004013377926421404,0.01304347826086956
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,3_2,0.0009134088417975891,0.0009134088417975882,0.007383100902379002,0.0066889632107023445,0.00434782608695652
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,0.006678563703223014,0.006678563703223016,0.035326086956521736,0.01796653219781862,0.007721549061534807
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,0.004218040233614538,0.0045695435864157455,0.013737922705314006,0.009468848050201704,0.0073354716084580674
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,3_5,0.0034709535988308366,0.003836317135549872,0.002461033634126335,0.005016722408026758,0.006521739130434779
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,4_1,0.0018268176835951775,0.0032882718304713195,0.005332239540607057,0.011036789297658868,0.021739130434782608
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,4_2,0.0007030067056024231,0.004218040233614538,0.003925120772946859,0.0033990736590467654,0.006177239249227847
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,4_3,0.017926670992861785,0.024253731343283583,0.008504428341384858,0.0075265202450321205,0.010038013779995246
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,4_4,0.0018268176835951782,0.0021921812203142123,0.02748154224774406,0.02775919732441472,0.013043478260869566
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,0.015466147523253301,0.015114644170452092,0.012429549114331724,0.018209323173464815,0.01582917557614635
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,5_1,0.0038665368808133266,0.02847177157689812,0.018971417069243154,0.011168384879725086,0.016601330482299833
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,5_2,0.004384362440628426,0.004384362440628425,0.0028712059064807216,0.00568561872909699,0.021739130434782608
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,5_3,0.005115089514066497,0.006028498355864085,0.0016406890894175566,0.0030100334448160543,0.004347826086956523
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,5_4,0.010193597231235132,0.015466147523253301,0.004579307568438003,0.002670700732108172,0.0027025421715371825
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,5_5,0.002009499451954695,0.0020094994519546942,0.009023789991796559,0.012040133779264219,0.06956521739130432
