Process_ID,All,5_0_%#1,5_0_%#2
Process_label,All,roi_mean,roi_median
n_records,16,8,8
Mean_R2,0.4732944444444444,0.5079555555555555,0.43863333333333326
Min_R2,0.1444444444444443,0.1444444444444443,0.1444444444444446
Median_R2,0.5266666666666666,0.5355555555555556,0.5266666666666666
Max_R2,0.6672,0.6672,0.6512
p_vs_All,1.0,0.817898918457712,0.817898918457712
p_vs_roi_mean,0.817898918457712,1.0,0.1875
p_vs_roi_median,0.817898918457712,0.1875,1.0
effect_vs_All,0.0,0.046999214697926,0.048231102815785264
effect_vs_roi_mean,0.046999214697926,0.0,0.6585751674930653
effect_vs_roi_median,0.048231102815785264,0.6585751674930653,0.0
