Sample_ID,Label,Cooks_distance_like
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,0.007682249101013404
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,0.005393919581562599
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,0.004413206930369398
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,0.011278195488721807
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1_5,0.0022883295194508
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,0.0003405252261087499
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,2_2,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,2_3,0.0036095673967527528
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,2_4,0.001157785768769751
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,6.810504522174998e-05
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,3_1,0.0045766590389016
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,3_2,0.006864988558352406
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,0.006701536449820199
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,0.002942137953579598
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,3_5,0.003922850604772803
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,4_1,0.0006810504522174994
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,4_2,0.0003405252261087499
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,4_3,0.00034052522610875026
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,4_4,0.0008853655878827497
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,0.0010896807235479997
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,5_1,0.0053939195815626015
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,5_2,0.0042497548218371995
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,5_3,0.001634521085322
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,5_4,0.009316770186335404
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,5_5,0.011605099705786204
