Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,3,16,4,2,0.42857142857142855,0.6,0.5,0.76,0.9
leaf_2,1,18,2,4,0.3333333333333333,0.2,0.25,0.76,0.88
leaf_3,5,20,0,0,1.0,1.0,1.0,1.0,1.0
leaf_4,5,19,1,0,0.8333333333333334,1.0,0.9090909090909091,0.96,0.985
leaf_5,4,20,0,1,1.0,0.8,0.888888888888889,0.96,0.99
Micro_avg,18,93,7,7,0.72,0.72,0.72,0.72,0.9492
Macro_avg,-,-,-,-,0.719047619047619,0.72,0.7095959595959596,0.8879999999999999,0.951
StandardScaler_feat_all_KNeighborsClassifier model classification performance report,,,,,,,,,
