Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,3,19,1,2,0.75,0.6,0.6666666666666665,0.88,0.95
leaf_2,3,18,2,2,0.6,0.6,0.6,0.84,0.855
leaf_3,1,14,6,4,0.14285714285714285,0.2,0.16666666666666666,0.6,0.51
leaf_4,2,17,3,3,0.4,0.4,0.4000000000000001,0.76,0.8300000000000001
leaf_5,3,19,1,2,0.75,0.6,0.6666666666666665,0.88,0.96
Micro_avg,12,87,13,13,0.48,0.48,0.48,0.48,0.8522
Macro_avg,-,-,-,-,0.5285714285714286,0.48,0.5,0.792,0.8210000000000001
StandardScaler_feat5_RandomForestClassifier model classification performance report,,,,,,,,,
