Sample_ID,Label,leaf_1_probability_Cooks_distance_like,leaf_2_probability_Cooks_distance_like,leaf_3_probability_Cooks_distance_like,leaf_4_probability_Cooks_distance_like,leaf_5_probability_Cooks_distance_like
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,0.048196831816649806,0.042213563029805855,0.0029937361827560792,0.005830146815842894,0.01049289711579854
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,0.0,0.0017553335133675405,0.0011982197877439232,0.0012422360248447205,0.021739130434782608
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,0.000652173913043478,0.014042668106940317,0.008301951386511472,0.0012422360248447208,0.02006688963210702
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,0.0,0.000945179584120983,0.00034234851078397796,0.0002484472049689441,0.00836120401337793
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1_5,0.003833838894506236,0.012886245556467056,0.0014968680913780396,0.0028383609498182504,0.0023317549146218966
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,0.01643073811931244,0.021328958162428222,0.003991648243674773,0.002915073407921447,0.006062562778016932
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,2_2,0.00766767778901247,0.021773311457478812,0.0029937361827560792,0.00398904782136619,0.004896685320705983
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,2_3,0.000652173913043478,0.004725897920604917,0.0005135227661759669,0.002049689440993789,0.011705685618729098
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,2_4,0.023550724637681156,0.026661197703035277,0.0012972856791943009,0.004679459944294953,0.009560195149949782
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,0.000652173913043478,0.002295436132865245,0.0010270455323519343,0.0023602484472049685,0.02006688963210702
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,3_1,0.014239973036737444,0.013330598851517638,0.0030935273888479486,0.004679459944294953,0.004663509829243793
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,3_2,0.0,0.0002700513097488524,0.0008558712769599452,0.0004347826086956522,0.018394648829431433
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,0.0,0.001485282203618688,0.0019685039370078744,0.0005590062111801242,0.008361204013377926
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,0.02574148972025615,0.019551544982225867,0.0029937361827560797,0.0029917858660246425,0.00046635098292437935
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,3_5,0.0,0.0013502565487442618,0.001027045532351935,0.0019254658385093168,0.008361204013377926
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,4_1,0.0,0.0005401026194977043,0.0010270455323519343,0.0003726708074534161,0.02006688963210702
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,4_2,0.012049207954162451,0.011108832376264699,0.0019958241218373863,0.0016876740782703107,0.002098579423159707
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,4_3,0.000652173913043478,0.001080205238995409,8.558712769599449e-05,0.0005590062111801243,0.00836120401337793
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,4_4,0.008763060330299966,0.007554006015859995,0.0025945713583886017,0.0022246612849926833,0.0009327019658487587
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,0.00821536905965622,0.008442712605961173,0.001596659297469909,0.0029917858660246425,0.007694791218252262
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,5_1,0.0,0.0017553335133675405,0.0008558712769599456,0.0026086956521739132,0.00836120401337793
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,5_2,0.002608695652173912,0.0012152308938698359,0.0008558712769599452,0.001863354037267081,0.018394648829431433
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,5_3,0.012049207954162451,0.011553185671315287,0.0009979120609186932,0.0018410989944767026,0.0013990529487731389
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,5_4,0.036695315133131116,0.029771670768389397,0.0020956153279292557,0.0004602747486191756,0.0030312813890084676
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,5_5,0.0,0.0013502565487442618,0.001369394043135912,0.0004347826086956522,0.021739130434782608
