Sample_ID,Label,Residual,Standardized_residuals,True_y,Predicted_y
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,1.2000000000000002,0.8993210126354605,4,2.8
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,1.0,0.6744907594765952,4,3.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,1.0,0.6744907594765952,4,3.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,1.0,0.6744907594765952,4,3.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1_5,1.0,0.6744907594765952,4,3.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,3_1,0.8,0.4496605063177302,2,1.2
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,3_2,1.0,0.6744907594765952,2,1.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,1.0,0.6744907594765952,2,1.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,0.8,0.4496605063177302,2,1.2
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,3_5,0.8,0.4496605063177302,2,1.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,5_1,-1.2,-1.7986420252709208,0,1.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,5_2,-1.2,-1.7986420252709208,0,1.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,5_3,-1.2,-1.7986420252709208,0,1.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,5_4,-1.2,-1.7986420252709208,0,1.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,5_5,-1.0,-1.5738117721120555,0,1.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,0.20000000000000018,-0.2248302531588649,3,2.8
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,2_2,-0.20000000000000018,-0.6744907594765954,3,3.2
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,2_3,0.0,-0.4496605063177302,3,3.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,2_4,-1.0,-1.5738117721120555,3,4.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,-0.7999999999999998,-1.3489815189531902,3,3.8
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,4_1,0.8,0.4496605063177302,1,0.2
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,4_2,0.19999999999999996,-0.22483025315886515,1,0.8
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,4_3,0.4,0.0,1,0.6
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,4_4,0.4,0.0,1,0.6
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,-0.19999999999999996,-0.6744907594765952,1,1.2
