Group,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
OVERALL,-1.192373988,-1.108081812,-1.0858991332,-1.0872581196,-1.091490056,-1.079386484,-1.080117316,-1.08027984,-1.0659649656,-1.0019180536,-0.8218184624,-0.6452480656,-0.5895182432000001,-0.6075217980000001,-0.7282130416,-0.8074123887999999,-0.8379899932000001,-0.893251844,-0.9260021308,-0.9652090116,-1.0209961668,-1.067618704,-1.049117176,-0.8000678236000002,-0.14882928242000001,0.465481792,0.8811955024,1.032127756,1.074609564,1.0807044639999999,1.0868582039999999,1.097456976,1.110014216,1.11701778,1.127207428,1.136365128,1.136233572,1.149816672,1.145465004,1.150829576,1.139967612,1.1098311040000002,1.0566253868,0.9710453904,0.9369439884,0.8902039888000001
group_1,-1.31504,-1.19915789,-1.1763612999999997,-1.1717642099999999,-1.17048311,-1.15579679,-1.15321385,-1.1529388600000001,-1.1289450200000002,-1.02446218,-0.7594669039999999,-0.527481276,-0.4540919640000001,-0.467483262,-0.6121716910000001,-0.717290738,-0.7603051860000001,-0.835999806,-0.8837124749999999,-0.9495890290000002,-1.0425962,-1.1254916700000002,-1.10831501,-0.703468284,0.07884860295,0.6257800769999999,0.92831694,1.02687457,1.05434055,1.0570453800000004,1.0623475500000001,1.0738881599999999,1.08593501,1.08969493,1.1027423600000001,1.1103322800000002,1.1128227499999999,1.1292019500000001,1.1228865799999999,1.1273763300000001,1.11786902,1.08492772,1.04959492,0.9471714239999999,0.9150242989999999,0.859529412
group_2,-1.1105966466666668,-1.0473644266666666,-1.025591022,-1.030920726,-1.03882802,-1.0284462799999998,-1.0313862933333333,-1.0318404933333334,-1.0239782626666667,-0.9868886359999999,-0.863386168,-0.7237592586666666,-0.6798024293333333,-0.700880822,-0.8055739420000001,-0.8674934893333333,-0.8897798646666668,-0.9314198693333332,-0.9541952346666668,-0.9756223333333335,-1.006596144666667,-1.0290367266666667,-1.0096519533333335,-0.8644675166666667,-0.3006145393333334,0.3586162686666667,0.8497812106666667,1.0356298800000001,1.08812224,1.096477186666667,1.10319864,1.1131695200000002,1.1260670200000003,1.1352330133333333,1.1435174733333333,1.1537203600000003,1.151840786666667,1.16355982,1.1605172866666669,1.1664650733333335,1.1547000066666664,1.12643336,1.0613123646666667,0.986961368,0.9515571146666667,0.9106537066666667
