Group,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
OVERALL,-1.1455257,-1.0926945,-1.0552466,-1.0495874,-1.054392,-1.0451393,-1.04771,-1.0489329,-1.0409479,-0.9967282,-0.8458656,-0.68047404,-0.6283986,-0.6492191,-0.7714562,-0.84654284,-0.8745358,-0.92077935,-0.94824624,-0.9686115,-1.0218871,-1.0468428,-1.02596,-0.85505694,-0.22604594,0.42507842,0.88110155,1.0285642,1.0715305,1.0815865,1.0885715,1.0975221,1.1103191,1.1189326,1.1246779,1.13806,1.134553,1.1492238,1.1465462,1.1504319,1.1406438,1.1166222,1.0635822,0.97633487,0.9406816,0.887531
group_1,-1.3117727499999998,-1.2174566,-1.1717198,-1.1729832,-1.1707782999999998,-1.1566811000000001,-1.15255145,-1.1505301000000001,-1.1291115,-1.0252129,-0.76558784,-0.5339373000000001,-0.460357445,-0.47653629,-0.61940265,-0.71937311,-0.763351785,-0.83080553,-0.8776219,-0.94716442,-1.0436846,-1.12298125,-1.1058683,-0.6948916599999999,0.09497584049999999,0.637851175,0.92983053,1.02261785,1.05118625,1.0572971999999998,1.0622232,1.0760678000000001,1.0900196,1.0918038499999998,1.1014344,1.1106650500000002,1.10832515,1.1259922,1.1253893499999998,1.12534125,1.1156559000000001,1.08317825,1.0492110000000001,0.93896478,0.924111455,0.862496515
group_2,-1.1064684,-1.0592148,-1.0196011,-1.028726,-1.0319746,-1.0179725,-1.0247498,-1.0238733,-1.0173385,-0.98874635,-0.8710633,-0.7364509,-0.69124275,-0.7105981,-0.81931376,-0.87364566,-0.8939613,-0.9337412,-0.95454717,-0.97771716,-1.0020169,-1.0209842,-1.0043982,-0.86793995,-0.2881821,0.3852303,0.8572512,1.0321059,1.0912784,1.094245,1.1017878,1.1062106,1.1182835,1.1251295,1.1368977,1.143537,1.1492269,1.1594775,1.1545708,1.1622828,1.160112,1.1233699,1.0687993,0.99895716,0.9598546,0.91520923
