Group,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
OVERALL,-1.0632031,-0.93657887,-0.97357047,-0.98668635,-0.998689,-1.0004646,-1.0037202,-1.0053154,-0.99948984,-0.96562445,-0.7229954,-0.46818477,-0.38280183,-0.39001176,-0.54002005,-0.65932536,-0.7066102,-0.7935719,-0.85062665,-0.93021494,-0.9877473,-1.0019977,-0.977273,-0.62721986,0.18674739,0.69475114,0.9474866,1.0601842,1.1289945,1.1298413,1.1375921,1.1593766,1.1553295,1.1852481,1.2005126,1.225419,1.1913532,1.2157557,1.1994205,1.2185589,1.176198,1.1538365,1.1082333,1.0302716,0.97853845,0.95843834
group_1,-1.2126553,-1.028527,-1.1192584,-1.136939,-1.1304771,-1.1185629,-1.1129231,-1.1126404,-1.0945919,-1.009532,-0.7229954,-0.46818477,-0.38280183,-0.39001176,-0.54002005,-0.65932536,-0.7066102,-0.7935719,-0.85062665,-0.93021494,-1.0277013,-1.0980684,-1.0767522,-0.62721986,0.18674739,0.69475114,0.9474866,1.0601842,1.0945357,1.0971954,1.106624,1.1093872,1.1103191,1.1198943,1.1228561,1.1384075,1.134553,1.1447084,1.137182,1.1476729,1.140795,1.1179284,1.0905495,0.989131,0.9406816,0.9402804
group_2,-1.0632031,-0.93657887,-0.97357047,-0.98668635,-0.998689,-1.0004646,-1.0037202,-1.0053154,-0.99948984,-0.96562445,-0.833356,-0.6519616,-0.59729165,-0.618494,-0.74543303,-0.82835644,-0.85588884,-0.9142471,-0.93626,-0.95620435,-0.9877473,-1.0019977,-0.977273,-0.8279274,-0.15064956,0.4816666,0.8997759,1.0558004,1.1289945,1.1298413,1.1375921,1.1593766,1.1553295,1.1852481,1.2005126,1.225419,1.1913532,1.2157557,1.1994205,1.2185589,1.176198,1.1538365,1.1082333,1.0302716,0.97853845,0.95843834
