Group,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
OVERALL,1.199280192295296,0.8381709471736748,-0.6982907162184965,0.5662648054763451,0.4285498953051704,0.5593216595410163,0.5764120400472769,0.6468523264160901,0.6829563966351748,0.7939269351004916,0.7354991020976338,0.6608076368889478,0.6281154729981872,0.6494585733582823,0.7223068254493281,0.7689684040043456,0.7830650915674529,0.8177947182051302,0.8485232374317583,0.8266712318644882,0.8200965746996709,0.7438886775530807,0.6954336694606129,0.8311185282799534,0.5489846607399875,0.20877330442963637,-0.2957277735676693,-0.5284548650900592,-0.576886774648631,-0.594891662021874,-0.5482574543036822,-0.5255668120112373,-0.5399334608010897,-0.5160140886149865,-0.5536829944623177,-0.5841246031330477,-0.5807121989325192,-0.5902797583278224,-0.5484884880128991,-0.5169912104869667,-0.5207901541730515,-0.5037431130998317,-0.5101180564864697,-0.3966631816206179,-0.48303082233428757,-0.3303842135819812
group_1,1.0313844666791296,0.1552814670885354,-0.10530570471000157,-0.3720977699022034,-0.498203107559981,-0.39287919181937303,-0.4199116081267522,-0.3661013726022617,-0.34526419197293373,-0.24254330402209032,-0.1314799636853502,-0.08271781020333167,-0.061011834517117294,-0.09877736821702823,-0.13780320527439177,-0.16579773898353142,-0.18313397469444856,-0.22188922466274516,-0.24714554645516917,-0.2789400812835398,-0.31948383500599187,-0.3706943530336653,-0.3758885052786816,-0.2398833812622176,-0.319062748759916,-0.4104106519925805,-0.49336325015933485,-0.5611706279373756,-0.5429576411879118,-0.5572224361484389,-0.5492935026862212,-0.5262252399668075,-0.5392329520023522,-0.4808032918044269,-0.545323468834951,-0.5599191298053595,-0.5511546685472545,-0.5387673127061432,-0.5029471796212207,-0.4714339926905606,-0.4013224503300222,-0.4455636595589284,-0.5449361305749798,-0.3689076730621493,-0.4181106162433246,-0.3800142276638218
group_2,1.1619535473538076,1.054203332788112,-0.9174470111248157,0.8510068711119678,0.635213322452198,0.7186445174293953,0.8450176239974132,0.9070618523002917,0.8764227475930794,0.47589241017289524,-0.29300445286798277,-0.33287264998048216,-0.3166936684955362,-0.2996580865613477,-0.24006592006859295,-0.19063556528778489,-0.14627349108410373,-0.02377244885712814,0.1361168959222615,0.3264730223027968,0.7361478975478774,0.9753388226300639,0.8034038012666814,-0.1811117404891664,-0.4707838944392835,-0.7536795058356862,-0.8938082875138121,-0.8262857870960284,-0.8225216234189885,-0.8124884913685985,-0.7978986982849265,-0.7920459275437606,-0.799323430135099,-0.8155729142049019,-0.8174114745767893,-0.8671103628980575,-0.8568862225881618,-0.8767003433826104,-0.8646929385545414,-0.813756170010761,-0.8838087683896964,-0.8450023162577338,-0.8649088894031337,-0.7861355861584823,-0.8703357711184204,-0.7416131894154486
