Class,TP,TN,FP,FN,Precision,Recall,F1_Score,Accuracy,AUC
leaf_1,5,18,2,0,0.7142857142857143,1.0,0.8333333333333333,0.92,0.9649999999999999
leaf_2,2,20,0,3,1.0,0.4,0.5714285714285715,0.88,0.92
leaf_3,2,13,7,3,0.2222222222222222,0.4,0.2857142857142857,0.6,0.5
leaf_4,2,18,2,3,0.5,0.4,0.4444444444444445,0.8,0.89
leaf_5,2,19,1,3,0.6666666666666666,0.4,0.5,0.84,0.9500000000000001
Micro_avg,13,88,12,12,0.52,0.52,0.52,0.52,0.8406
Macro_avg,-,-,-,-,0.6206349206349207,0.5199999999999999,0.5269841269841269,0.808,0.845
StandardScaler_feat_all_RandomForestClassifier model classification performance report,,,,,,,,,
